Event Name,Date,Start,End,Link
New York University Women’s Volleyball vs Johns Hopkins University vs. MIT,2024-09-21,3:00pm,5:00pm,https://gonyuathletics.com/calendar.aspx?game_id=12584&sport_id=18
New York University Men’s Soccer vs Drew University,2024-09-21,3:30pm,5:30pm,https://gonyuathletics.com/calendar.aspx?game_id=12591&sport_id=6
Weekly Breaking Practice,2024-09-21,4:00pm,6:00pm,https://engage.nyu.edu/event/10403611
New York University Women’s Volleyball vs Massachusetts Institute of Technology,2024-09-21,5:30pm,7:30pm,https://gonyuathletics.com/calendar.aspx?game_id=12585&sport_id=18
Counting and Cracking,2024-09-21,7:00pm,,https://www.events.nyu.edu/event/335689-counting-and-cracking
Sour Things,2024-09-22,,,https://events.shanghai.nyu.edu/#!view/event/event_id/6390
BMI Check-in,2024-09-22,,,https://engage.nyu.edu/event/10471882
COUNTING AND CRACKING,2024-09-22,,,https://www.events.nyu.edu/event/338046-counting-and-cracking
Fall 2024,2024-09-22,,,https://events.shanghai.nyu.edu/#!view/event/event_id/6350
New York University Men’s Golf vs NCAA Division III Preview - Round 2 (Site: Midvale Country Club),2024-09-22,,,https://gonyuathletics.com/calendar.aspx?game_id=13155&sport_id=5
NYU Economics Society - General Event,2024-09-22,,,https://engage.nyu.edu/event/9615532
Pet Photo Contest 2025,2024-09-22,,,https://www.events.nyu.edu/event/337511-pet-photo-contest-2025
The Gallatin Galleries | The End of Democracy in Five Acts,2024-09-22,,,https://gallatin.nyu.edu:443/content/gallatin/en/utilities/events/2024/09/gallery-show---end-of-democracy-in-5-episodes-.html
New York University Women’s Tennis vs ITA Regional Championships (host: Skidmore College),2024-09-22,9:00am,12:00pm,https://gonyuathletics.com/calendar.aspx?game_id=12841&sport_id=16
New York University Women’s Golf vs George Phinney Classic - Round 2 (Host: Middlebury College),2024-09-22,9:30am,12:30pm,https://gonyuathletics.com/calendar.aspx?game_id=13174&sport_id=20
New York University Men’s Tennis at Haverford/Swarthmore Invite,2024-09-22,10:00am,1:00pm,https://gonyuathletics.com/calendar.aspx?game_id=12866&sport_id=8
Queer + Jewish Brunch,2024-09-22,10:00am,2:00pm,https://engage.nyu.edu/event/10473631
"Supplemental Learning Group - MATH UA 121, Calculus I - [Chen Lecture ONLY]",2024-09-22,12:00pm,1:15pm,https://engage.nyu.edu/event/10484145
"Supplemental Learning Group: PSYCH-UA 30, Personality - [Duman Lecture Only]",2024-09-22,12:00pm,1:15pm,https://engage.nyu.edu/event/10481775
"Supplemental Learning Group: MATH-UA 9, ATF - [Stine Lecture Only]",2024-09-22,12:00pm,1:15pm,https://engage.nyu.edu/event/10484128
Counting and Cracking,2024-09-22,1:00pm,,https://www.events.nyu.edu/event/335690-counting-and-cracking
Organic Chemistry I Learning Group,2024-09-22,1:30pm,2:45pm,https://engage.nyu.edu/event/10495114
ATF Learning Group,2024-09-22,2:00pm,3:15pm,https://engage.nyu.edu/event/10476737
"Supplemental Learning Group - CHEM-UA 225, Organic Chemistry I - [Angelo Lecture ONLY]",2024-09-22,2:00pm,3:15pm,https://engage.nyu.edu/event/10484151
CANCELED: Weekly Class,2024-09-22,2:00pm,3:30pm,https://engage.nyu.edu/event/10492572
Induction,2024-09-22,2:30pm,4:30pm,https://engage.nyu.edu/event/10496063
"Supplemental Learning Group - CHEM-UA 225, Organic Chemistry I - [Weck Lecture ONLY]",2024-09-22,3:30pm,4:45pm,https://engage.nyu.edu/event/10484158
"Supplemental Learning Group: MATH-UA 121, Calculus I - [Espinosa Lecture Only]",2024-09-22,4:00pm,5:15pm,https://engage.nyu.edu/event/10484141
"Supplemental Learning Group - MATH UA 121, Calculus I - [Feklistova Lecture ONLY]",2024-09-22,5:00pm,6:15pm,https://engage.nyu.edu/event/10484172
Saudi National Day,2024-09-22,6:00pm,9:00pm,https://engage.nyu.edu/event/10486283
Clinical Psychology Panel – CAMS x Psi Chi x Professor Ian Reed,2024-09-22,6:00pm,7:00pm,https://engage.nyu.edu/event/10420024
Counting and Cracking,2024-09-22,7:00pm,,https://www.events.nyu.edu/event/335691-counting-and-cracking
Procrastination Power Hour – Sunday Session,2024-09-22,7:30pm,9:00pm,https://engage.nyu.edu/event/10382841
